Journal Page,Twp Name,Twp No,Lot No,Bounds,Alt Lot,Alt bounds,Bounds Text,Direction,Corner,Corner Observations,Chains,Links,Observation,Destination Corner,Transcriber
58,Hector,21,12,South,22,North,,West,,,77,57,Intersected the East Bounds of Lot No. 20 and set a standing 30 Links westerly of a Black Oak Tree Marked and Numbered for the Northwest and Southwest Corner of Lots No. 12 & 22 ,SW,Rebecca
58,Hector,21,12,South,22,North,Land but Midling Timbered mainly with White Oak and somewhat Stoney,West,,,,,,,
23,Hector,21,12,East,13,West,,North,SE,"Beginning at the last mentioned Corner  [Corner of Lots No. 12, 13, 22 & 23]",0,,,,JuneSzabo
23,Hector,21,12,East,13,West,,North,,,40,,Crossed a brook running Southwesterly and Good land bearing Maple Elm Ash Hickory Oak etc.,,
23,Hector,21,12,East,13,West,,North,,,55,,A small brook running Southwesterly,,JuneSzabo
23,Hector,21,12,East,13,West,,North,,,80,,"Intersected a Line and Marked and Numbered a Stake Standing in the Centre [sic] of a Triangle formed by two White Oak trees and a Maple all blazed on 4 Side [sic] being the Corner of Lots No. 3, 4, 12 & 13 ",NE,JuneSzabo
23,Hector,21,12,East,13,West,Good land Timbered as before [Maple Elm Ash Hickory Oak etc.],North,,,,,,,
,Hector,21,12,West,2&11,East,No Journal Entry,,,,,,,,
,,,,,,,,,,,,,,,
54,Hector,21,13,North,4,South,,East,SW,"Beginning at the Corner last Mentioned [Corner of Lots No. 3, 4, 12 & 13 Vide Page 23]",0,,,,
54,Hector,21,13,North,4,South,,East,,,10,,The Land inclines to Swamp,,
54,Hector,21,13,North,4,South,,East,,,77,57,"The Corner of Lots No. 4, 5, 13, 14 Vide page 24",,
54,Hector,21,13,North,4,South,Land good and Level Bearing Basswood Walnut & Ash,East,,,,,,SE,
58,Hector,21,13,South,23,North,,West,SE,"Beginning at the Corner last Mentioned [Corner of Lots No. 13, 14, 23 & 24 Vide Page 25]",0,,,,
58,Hector,21,13,South,23,North,,West,,,10,,A Small Brook running Northwesterly [Northeasterly],,
58,Hector,21,13,South,23,North,,West,,,77,57,"The Corner of Lots No. 12, 13, 22 & 23 Vide Page 23",SW,
58,Hector,21,13,South,23,North,Land begins to grow better bearing Hickory Beach Maple Oak & White pine.,West,,,,,,,Rebecca
25,Hector,21,13,East,14,West,,South,NE,"Beginning at the Corner last mentioned [Corner of Lots No. 4,5, 13 & 14]",0,,,,
25,Hector,21,13,East,14,West,,South,,,30,,Crossed a Brook running Westerly  Land pretty good bearing White pine Beach Maple and Hickory,,JuneSzabo
25,Hector,21,13,East,14,West,,South,,,80,,"Intersected the Line and set A Stake Standing  8 Links North from a Chesnut Sapling marked and Numbered for the Corner of Lots No. 13, 14, 23 & 24",SE,JuneSzabo
25,Hector,21,13,East,14,West,No journal entry,,,,,,,,
23,Hector,21,13,West,12,East,see 12 east,,,,,,,,JuneSzabo
,,,,,,,,,,,,,,,
55,Hector,21,14,North,5,South,,East,NW,"Beginning at the Corner last Mentioned [Corner of Lots No. 4, 5, 13, 14 Vide page 24]",0,,,,Rebecca
55,Hector,21,14,North,5,South,,,,,40,,The top of a long Gradual Ascent,,Rebecca
55,Hector,21,14,North,5,South,,,,,77,57,"The Corner of Lots No. 5, 6, 14, 15  Vide page 32",NE,Rebecca
55,Hector,21,14,North,5,South,Land level but not very being the top of the Ridge from Whence the waters run Opposite ways,East,,,,,,,Rebecca
58,Hector,21,14,South,24,North,,West,SE,"Beginning at the Corner last Mentioned [Corner of Lots No. 14, 15, 24 & 25 Vide page 31]",0,,,,Rebecca
58,Hector,21,14,South,24,North,,West,,,77,57,"The Corner of Lots No. 13, 14, 23 & 24 Vide Page 25",SW,Rebecca
58,Hector,21,14,South,24,North,The Land not very good Descending towards the Lake,West,,,,,,,Rebecca
32,Hector,21,14,East,15,West,,North,SE,"Beginning at the Corner of last mentioned [Corner of Lots No. 14, 15, 24 & 25]",0,,,,JuneSzabo
32,Hector,21,14,East,15,West,,North,,,80,,"A Stake Standing 10 Links Easterly of a Beech tree marked for the Corner Lots No. 5, 6, 14 & 15 ",NE,
32,Hector,21,14,East,15,West,Land Good level  Bearing Beach Maple Elm Basswood & white Ash,North,,,,,,,JuneSzabo
,Hector,21,14,West,13,East,see 13 east,,,,,,,,JuneSzabo
,,,,,,,,,,,,,,,
55,Hector,21,15,North,6,South,,East,NW,"Beginning at the Corner last Mentioned [Corner of Lots No. 5, 6, 14, 15 Vide page 32] Descending gradually",0,,,,Rebecca
55,Hector,21,15,North,6,South,,East,,,77,57,"The Corner of Lots No. 6, 7, 15, 16  Vide Page 33",NE,Rebecca
55,Hector,21,15,North,6,South,Good Land Bearing Beach  Maple  Basswood  Elm & White Ash,East,,,,,,,Rebecca
57,Hector,21,15,South,25,North,,West,SE,"Beginning at the Corner last Mentioned [Corner of Lots No. 15, 16, 25 & 26 Vide Page 33.]",0,,,,Rebecca
57,Hector,21,15,South,25,North,,West,,,10,,A Spring Run Bear: Southerly,,Rebecca
57,Hector,21,15,South,25,North,,West,,,77,57,"The Corner of Lots No. 14, 15, 24 & 25 Vide Page 31.",SW,Rebecca
57,Hector,21,15,South,25,North,High Land and not very good  Covered pretty much with underbrush and Scrubby timber.,West,,,,,,,Rebecca
33,Hector,21,15,East,16,West,,South,NE,"Beginning at the last Mentioned Corner [Corner of Lots No. 6,7, 15 & 16]",0,,,,Judy
33,Hector,21,15,East,16,West,,South,,,20,,A small brook running Easterly here the Land is White pine Timber Intermixed.,,Judy
33,Hector,21,15,East,16,West,,South,,,80,,"Intersected the Line and Marked and Numbered a Stake Standing 12 Links West of a White pine tree also marked for the Corner of Lots No. 15, 16, 25 & 26. and Numbered",SE,Judy
33,Hector,21,15,East,16,West,Land level and good Bearing Beach Maple White pine and some Oak,South,,,,,,,Judy
32,Hector,21,15,West,14,East,see 14 east,,,,,,,,JuneSzabo
,,,,,,,,,,,,,,,
55,Hector,21,16,North,7,South,,East,NW,"Beginning at the Corner last Mentioned [Corner of Lots No. 6, 7, 15, 16 Vide Page 33]",0,,,,Rebecca
55,Hector,21,16,North,7,South,,East,,,5,,Crossed a fine Brook running Northwesterly [Southeasterly],,Rebecca
55,Hector,21,16,North,7,South,,East,,,38,,Crossed the Bend of a Brook,,Rebecca
55,Hector,21,16,North,7,South,,East,,,53,,Crossed another Bend of the same Brook Which now bears Northwesterly ,,Rebecca
